BankID,Month,Score
1,1,4
1,2,7
1,3,4
1,4,9
1,5,8
1,6,7
1,7,4
1,8,9
1,9,8
1,10,8
1,11,7
1,12,9
2,1,8
2,2,8
2,3,9
2,4,8
2,5,5
2,6,9
2,7,9
2,8,8
2,9,7
2,10,4
2,11,9
2,12,5
3,1,9
3,2,9
3,3,8
3,4,4
3,5,4
3,6,6
3,7,5
3,8,5
3,9,6
3,10,6
3,11,5
3,12,4
4,1,6
4,2,9
4,3,6
4,4,5
4,5,8
4,6,5
4,7,4
4,8,7
4,9,8
4,10,8
4,11,9
4,12,4
5,1,6
5,2,5
5,3,7
5,4,5
5,5,5
5,6,8
5,7,4
5,8,8
5,9,7
5,10,8
5,11,7
5,12,8
6,1,7
6,2,5
6,3,4
6,4,9
6,5,6
6,6,8
6,7,4
6,8,6
6,9,5
6,10,5
6,11,9
6,12,7
7,1,4
7,2,9
7,3,6
7,4,6
7,5,6
7,6,6
7,7,4
7,8,5
7,9,8
7,10,7
7,11,9
7,12,5
8,1,4
8,2,7
8,3,4
8,4,6
8,5,8
8,6,8
8,7,4
8,8,4
8,9,7
8,10,9
8,11,7
8,12,6
9,1,4
9,2,7
9,3,9
9,4,8
9,5,5
9,6,4
9,7,8
9,8,8
9,9,5
9,10,4
9,11,8
9,12,9
10,1,4
10,2,7
10,3,4
10,4,7
10,5,7
10,6,5
10,7,6
10,8,4
10,9,7
10,10,7
10,11,5
10,12,5
11,1,5
11,2,8
11,3,6
11,4,7
11,5,8
11,6,9
11,7,6
11,8,6
11,9,9
11,10,9
11,11,9
11,12,5
12,1,4
12,2,9
12,3,6
12,4,9
12,5,8
12,6,8
12,7,8
12,8,8
12,9,9
12,10,9
12,11,9
12,12,7
13,1,9
13,2,7
13,3,5
13,4,6
13,5,9
13,6,7
13,7,4
13,8,6
13,9,7
13,10,8
13,11,9
13,12,5
14,1,6
14,2,4
14,3,7
14,4,8
14,5,5
14,6,7
14,7,9
14,8,5
14,9,8
14,10,8
14,11,8
14,12,6
15,1,9
15,2,9
15,3,7
15,4,8
15,5,7
15,6,6
15,7,7
15,8,4
15,9,8
15,10,9
15,11,7
15,12,8
16,1,5
16,2,8
16,3,7
16,4,4
16,5,4
16,6,7
16,7,5
16,8,6
16,9,7
16,10,6
16,11,7
16,12,6
17,1,7
17,2,5
17,3,9
17,4,6
17,5,5
17,6,4
17,7,5
17,8,5
17,9,5
17,10,4
17,11,5
17,12,8
18,1,4
18,2,7
18,3,9
18,4,7
18,5,4
18,6,9
18,7,9
18,8,4
18,9,7
18,10,4
18,11,6
18,12,4
19,1,9
19,2,7
19,3,7
19,4,4
19,5,9
19,6,8
19,7,5
19,8,8
19,9,9
19,10,9
19,11,5
19,12,9
20,1,5
20,2,4
20,3,7
20,4,8
20,5,5
20,6,4
20,7,6
20,8,5
20,9,6
20,10,7
20,11,8
20,12,9
21,1,5
21,2,9
21,3,5
21,4,5
21,5,7
21,6,5
21,7,7
21,8,6
21,9,7
21,10,9
21,11,4
21,12,4
22,1,9
22,2,6
22,3,8
22,4,8
22,5,7
22,6,6
22,7,4
22,8,4
22,9,8
22,10,4
22,11,9
22,12,8
23,1,9
23,2,8
23,3,6
23,4,9
23,5,4
23,6,7
23,7,7
23,8,8
23,9,5
23,10,7
23,11,8
23,12,6
24,1,8
24,2,5
24,3,7
24,4,5
24,5,7
24,6,5
24,7,8
24,8,9
24,9,5
24,10,5
24,11,4
24,12,4
25,1,9
25,2,8
25,3,9
25,4,8
25,5,5
25,6,7
25,7,7
25,8,8
25,9,7
25,10,9
25,11,6
25,12,6
26,1,6
26,2,9
26,3,9
26,4,9
26,5,8
26,6,5
26,7,9
26,8,8
26,9,7
26,10,8
26,11,5
26,12,9
27,1,8
27,2,9
27,3,8
27,4,5
27,5,6
27,6,5
27,7,7
27,8,7
27,9,4
27,10,8
27,11,8
27,12,6
28,1,6
28,2,6
28,3,4
28,4,9
28,5,4
28,6,5
28,7,7
28,8,9
28,9,4
28,10,8
28,11,5
28,12,8
29,1,4
29,2,5
29,3,6
29,4,6
29,5,7
29,6,6
29,7,4
29,8,7
29,9,6
29,10,8
29,11,9
29,12,5
30,1,9
30,2,6
30,3,8
30,4,8
30,5,5
30,6,6
30,7,7
30,8,8
30,9,8
30,10,4
30,11,6
30,12,7
31,1,7
31,2,5
31,3,8
31,4,5
31,5,9
31,6,4
31,7,5
31,8,7
31,9,6
31,10,8
31,11,4
31,12,5
32,1,4
32,2,9
32,3,5
32,4,4
32,5,9
32,6,6
32,7,9
32,8,7
32,9,7
32,10,5
32,11,5
32,12,7
33,1,7
33,2,5
33,3,7
33,4,6
33,5,6
33,6,4
33,7,7
33,8,6
33,9,4
33,10,8
33,11,7
33,12,5
34,1,4
34,2,8
34,3,9
34,4,6
34,5,8
34,6,5
34,7,7
34,8,5
34,9,7
34,10,9
34,11,7
34,12,5
35,1,7
35,2,5
35,3,8
35,4,5
35,5,5
35,6,5
35,7,9
35,8,7
35,9,9
35,10,6
35,11,9
35,12,7
36,1,4
36,2,5
36,3,5
36,4,8
36,5,5
36,6,9
36,7,9
36,8,5
36,9,5
36,10,4
36,11,8
36,12,9
37,1,6
37,2,8
37,3,4
37,4,8
37,5,4
37,6,4
37,7,4
37,8,4
37,9,5
37,10,9
37,11,7
37,12,5
38,1,7
38,2,9
38,3,4
38,4,9
38,5,6
38,6,6
38,7,4
38,8,4
38,9,6
38,10,9
38,11,4
38,12,4
39,1,8
39,2,4
39,3,7
39,4,4
39,5,8
39,6,7
39,7,9
39,8,7
39,9,8
39,10,9
39,11,7
39,12,5
40,1,5
40,2,9
40,3,6
40,4,8
40,5,9
40,6,5
40,7,5
40,8,5
40,9,5
40,10,7
40,11,9
40,12,8
